source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,....all deliveries of Fentanyl from China (or anywhere else!). Fentanyl kills 100000 Americans a year. President Xi said this would stop - it didn’t. Our Economy because of our gains in the last 2 1/2 years is MUCH larger than that of China. We will keep it that way!,08/23/19,22198,94844,FALSE,1.16E+18
Twitter for iPhone,....better off without them. The vast amounts of money made and stolen by China from the United States year after year for decades will and must STOP. Our great American companies are hereby ordered to immediately start looking for an alternative to China including bringing..,08/23/19,15044,56116,FALSE,1.16E+18
Twitter for iPhone,....your companies HOME and making your products in the USA. I will be responding to China’s Tariffs this afternoon. This is a GREAT opportunity for the United States. Also I am ordering all carriers including Fed Ex Amazon UPS and the Post Office to SEARCH FOR &amp; REFUSE....,08/23/19,19456,84028,FALSE,1.16E+18
Twitter for iPhone,Our Country has lost stupidly Trillions of Dollars with China over many years. They have stolen our Intellectual Property at a rate of Hundreds of Billions of Dollars a year &amp; they want to continue. I won’t let that happen! We don’t need China and frankly would be far....,08/23/19,34932,135787,FALSE,1.16E+18
Twitter for iPhone,Doing great with China and other Trade Deals. The only problem we have is Jay Powell and the Fed. He’s like a golfer who can’t putt has no touch. Big U.S. growth if he does the right thing BIG CUT - but don’t count on him! So far he has called it wrong and only let us down....,08/21/19,14969,66563,FALSE,1.16E+18
Twitter for iPhone,Our economy is the best in the world by far. Lowest unemployment ever within almost all categories. Poised for big growth after trade deals are completed. Import prices down China eating Tariffs. Helping targeted Farmers from big Tariff money coming in. Great future for USA!,08/18/19,18612,77659,FALSE,1.16E+18
Twitter for iPhone,We are doing very well with China and talking!,08/18/19,14679,85832,FALSE,1.16E+18
Twitter for iPhone,“If they don’t get this Trade Deal with the U.S. done China could have it first recession (or worse!) in years. There’s disinvestment in China right now. Also the Fed is too tight (I agree).” Steve Moore Heritage Foundation,08/15/19,15431,65491,FALSE,1.16E+18
Twitter for iPhone,Biden doesn’t have a clue! I will solve the China problem. https://t.co/v0sAoVEAoB,08/15/19,13773,57389,FALSE,1.16E+18
Twitter for iPhone,The Fake News Media is doing everything they can to crash the economy because they think that will be bad for me and my re-election. The problem they have is that the economy is way too strong and we will soon be winning big on Trade and everyone knows that including China!,08/15/19,21570,80707,FALSE,1.16E+18
Twitter for iPhone,RT @realDonaldTrump: Good things were stated on the call with China the other day. They are eating the Tariffs with the devaluation of thei…,08/15/19,17184,0,TRUE,1.16E+18
Twitter for iPhone,RT @realDonaldTrump: ..deferral to December. It actually helps China more than us but will be reciprocated. Millions of jobs are being los…,08/15/19,17035,0,TRUE,1.16E+18
Twitter for iPhone,I know President Xi of China very well. He is a great leader who very much has the respect of his people. He is also a good man in a “tough business.” I have ZERO doubt that if President Xi wants to quickly and humanely solve the Hong Kong problem he can do it. Personal meeting?,08/14/19,23461,105814,FALSE,1.16E+18
Twitter for iPhone,Good things were stated on the call with China the other day. They are eating the Tariffs with the devaluation of their currency and “pouring” money into their system. The American consumer is fine with or without the September date but much good will come from the short.....,08/14/19,17185,88976,FALSE,1.16E+18
Twitter for iPhone,..deferral to December. It actually helps China more than us but will be reciprocated. Millions of jobs are being lost in China to other non-Tariffed countries. Thousands of companies are leaving. Of course China wants to make a deal. Let them work humanely with Hong Kong first!,08/14/19,17069,86076,FALSE,1.16E+18
Twitter for iPhone,We are winning big time against China. Companies &amp; jobs are fleeing. Prices to us have not gone up and in some cases have come down. China is not our problem though Hong Kong is not helping. Our problem is with the Fed. Raised too much &amp; too fast. Now too slow to cut....,08/14/19,18897,85916,FALSE,1.16E+18
Twitter for iPhone,As usual China said they were going to be buying “big” from our great American Farmers. So far they have not done what they said. Maybe this will be different!,08/13/19,11632,54036,FALSE,1.16E+18
Twitter for iPhone,Through massive devaluation of their currency and pumping vast sums of money into their system the tens of billions of dollars that the U.S. is receiving is a gift from China. Prices not up no inflation. Farmers getting more than China would be spending. Fake News won’t report!,08/13/19,17124,65790,FALSE,1.16E+18
Twitter for iPhone,China wants to make a deal so badly. Thousands of companies are leaving because of the Tariffs they must stem the flow. At the same time China may be hoping for a Democrat to win so they could continue the great ripoff of America &amp; the theft of hundreds of Billions of $’s!,08/10/19,19173,82161,FALSE,1.16E+18
Twitter for iPhone,Watching Sleepy Joe Biden making a speech. Sooo Boring! The LameStream Media will die in the ratings and clicks with this guy. It will be over for them not to mention the fact that our Country will do poorly with him. It will be one big crash but at least China will be happy!,08/07/19,16918,74594,FALSE,1.16E+18
Twitter for iPhone,“Three more Central Banks cut rates.” Our problem is not China - We are stronger than ever money is pouring into the U.S. while China is losing companies by the thousands to other countries and their currency is under siege - Our problem is a Federal Reserve that is too.....,08/07/19,19350,85878,FALSE,1.16E+18
Twitter for iPhone,.@sundarpichai of Google was in the Oval Office working very hard to explain how much he liked me what a great job the Administration is doing that Google was not involved with China’s military that they didn’t help Crooked Hillary over me in the 2016 Election &amp; that they...,08/06/19,18552,80057,FALSE,1.16E+18
Twitter for iPhone,As they have learned in the last two years our great American Farmers know that China will not be able to hurt them in that their President has stood with them and done what no other president would do - And I’ll do it again next year if necessary!,08/06/19,19906,97892,FALSE,1.16E+18
Twitter for iPhone,Massive amounts of money from China and other parts of the world is pouring into the United States for reasons of safety investment and interest rates! We are in a very strong position. Companies are also coming to the U.S. in big numbers. A beautiful thing to watch!,08/06/19,19090,83395,FALSE,1.16E+18
Twitter for iPhone,@sundarpichai of Google was in the Oval Office working very hard to explain how much he liked me what a great job the Administration is doing that Google was not involved with China’s military that they didn’t help Crooked Hillary over me in the 2016 Election and that they...,08/06/19,11035,44443,FALSE,1.16E+18
